,fips_code,hit/no hit,state,AQI index,date
109,6037,no hit,CA,20.070833416666662,2020-08-18
110,6037,no hit,CA,18.710666666666665,2020-08-19
111,6037,no hit,CA,21.635733666666667,2020-08-20
112,6037,no hit,CA,23.686654909090908,2020-08-21
113,6037,no hit,CA,22.70200669230769,2020-08-22
114,6037,no hit,CA,17.6629165,2020-08-23
115,6037,no hit,CA,14.7218297,2020-08-24
116,6037,no hit,CA,11.134632,2020-08-25
117,6037,no hit,CA,10.786805666666666,2020-08-26
118,6037,no hit,CA,16.341698166666667,2020-08-27
119,6037,no hit,CA,12.89583323076923,2020-08-28
120,6037,no hit,CA,11.323958333333332,2020-08-29
121,6037,no hit,CA,11.529861083333335,2020-08-30
122,6037,no hit,CA,11.304166666666667,2020-08-31
123,6037,no hit,CA,11.795601916666667,2020-09-01
124,6037,no hit,CA,12.287638833333332,2020-09-02
125,6037,no hit,CA,16.530988999999998,2020-09-03
126,6037,no hit,CA,22.999335833333333,2020-09-04
127,6037,no hit,CA,19.106280166666668,2020-09-05
128,6037,no hit,CA,15.9238095,2020-09-06
129,6037,no hit,CA,19.6934849,2020-09-07
130,6037,no hit,CA,16.68256472727273,2020-09-08
131,6037,no hit,CA,19.30064107692308,2020-09-09
132,6037,no hit,CA,31.212216,2020-09-10
133,6037,no hit,CA,55.30773807142857,2020-09-11
134,6037,no hit,CA,59.4097222,2020-09-12
135,6037,no hit,CA,51.11190471428571,2020-09-13
136,6037,no hit,CA,55.20505957142858,2020-09-14
137,6037,no hit,CA,57.5275,2020-09-15
138,6037,no hit,CA,36.3875,2020-09-16
139,6037,no hit,CA,20.00312508333333,2020-09-17
140,6037,no hit,CA,22.12648807142857,2020-09-18
141,6037,no hit,CA,19.51770833333333,2020-09-19
142,6037,no hit,CA,17.81076375,2020-09-20
143,6037,no hit,CA,18.85972225,2020-09-21
144,6037,no hit,CA,18.26909725,2020-09-22
145,6037,no hit,CA,16.924950416666665,2020-09-23
146,6037,no hit,CA,20.665692714285715,2020-09-24
147,6037,no hit,CA,19.252182583333333,2020-09-25
148,6037,no hit,CA,20.29305558333333,2020-09-26
149,6037,no hit,CA,19.59965275,2020-09-27
150,6037,no hit,CA,18.78784725,2020-09-28
151,6037,no hit,CA,13.842361083333335,2020-09-29
152,6037,no hit,CA,15.379897071428571,2020-09-30
153,6037,no hit,CA,24.177430583333333,2020-10-01
154,6037,no hit,CA,24.273291,2020-10-02
155,6037,no hit,CA,28.74930558333333,2020-10-03
156,6037,no hit,CA,37.57326391666667,2020-10-04
157,6037,no hit,CA,38.63715275,2020-10-05
158,6037,no hit,CA,30.83988092857143,2020-10-06
159,6037,no hit,CA,27.63958325,2020-10-07
160,6037,no hit,CA,24.326388833333336,2020-10-08
161,6037,no hit,CA,21.27301583333333,2020-10-09
162,6037,no hit,CA,16.876736166666667,2020-10-10
163,6037,no hit,CA,13.862847166666668,2020-10-11
164,6037,no hit,CA,13.47410714285714,2020-10-12
165,6037,no hit,CA,13.448958333333332,2020-10-13
166,6037,no hit,CA,16.914930583333334,2020-10-14
167,6037,no hit,CA,17.561079583333335,2020-10-15
