GEO_ID,pop2021
28119,5935.0
46057,6255.0
47175,6324.0
19143,6159.0
54013,6176.0
5147,6116.0
17047,6075.0
17009,6421.0
30099,6269.0
20145,6225.0
51021,6173.0
31003,6279.0
5073,6163.0
46101,6315.0
46115,6269.0
17071,6312.0
20053,6336.0
16007,6545.0
38009,6390.0
13243,6287.0
8109,6471.0
13283,6306.0
27107,6416.0
5039,6308.0
47127,6644.0
27167,6395.0
31093,6531.0
21075,6512.0
19185,6508.0
8103,6476.0
51181,6530.0
21237,6507.0
19071,6567.0
51097,6662.0
51530,6601.0
47067,6787.0
29045,6736.0
32027,6741.0
48283,6670.0
48075,6736.0
20167,6703.0
51640,6660.0
31099,6674.0
27073,6684.0
31021,6709.0
13065,6725.0
51036,6594.0
48391,6756.0
54093,6672.0
5095,6683.0
31173,6620.0
56045,6745.0
8055,6920.0
38067,6767.0
30007,7288.0
48017,6835.0
17169,6843.0
20197,6966.0
30077,6999.0
42053,7032.0
40141,7076.0
48437,7008.0
46047,7202.0
46009,7014.0
47095,7128.0
30005,6980.0
48175,7163.0
19093,6956.0
16029,7111.0
48047,6994.0
29203,7106.0
8063,6950.0
19151,7074.0
49001,7249.0
31127,7064.0
18161,7047.0
48111,7172.0
53019,7273.0
56011,7315.0
5101,7204.0
19177,7243.0
41023,7272.0
28063,7205.0
31095,7176.0
50013,7421.0
51157,7407.0
51678,7456.0
20067,7324.0
31139,7313.0
21063,7381.0
55091,7364.0
48069,7374.0
21129,7451.0
54021,7377.0
29041,7356.0
22035,7220.0
41063,7545.0
8065,7407.0
46067,7411.0
19195,7385.0
13309,7471.0
20095,7392.0
8021,7612.0
20043,7471.0
19001,7541.0
41025,7575.0
13197,7440.0
46051,7519.0
21181,7712.0
5025,7514.0
30105,7537.0
47027,7555.0
48307,7533.0
19135,7610.0
29057,7599.0
19053,7659.0
22081,7564.0
16015,8094.0
54073,7601.0
28037,7676.0
56043,7705.0
31121,7665.0
28009,7646.0
48501,7607.0
48083,7735.0
49025,7992.0
13181,7749.0
1063,7629.0
28053,7551.0
21007,7695.0
48495,7415.0
40093,7668.0
54017,7735.0
13269,7799.0
5129,7880.0
31147,7759.0
54075,7841.0
20003,7778.0
16077,7950.0
20193,7877.0
48405,7922.0
16059,8162.0
12077,7900.0
38097,8003.0
17065,7911.0
13289,7856.0
45005,7858.0
54015,7892.0
37075,8043.0
26153,8030.0
8113,8074.0
20027,8077.0
26013,8215.0
41037,8276.0
31045,8148.0
29081,8164.0
27101,8144.0
51620,8217.0
28019,8106.0
48193,8229.0
26135,8311.0
5117,8135.0
12067,8382.0
54095,8155.0
5099,8187.0
47083,8317.0
30087,8124.0
13003,8391.0
29085,8607.0
31101,8279.0
46033,8609.0
54101,8249.0
38057,8323.0
31023,8444.0
47135,8472.0
20031,8338.0
31027,8330.0
31107,8401.0
21023,8439.0
18171,8475.0
54085,8383.0
29125,8406.0
29061,8399.0
1105,8355.0
56019,8623.0
5097,8611.0
21223,8530.0
29033,8376.0
40075,8410.0
48237,8712.0
29153,8782.0
51115,8546.0
28157,8315.0
5077,8619.0
48009,8681.0
48127,8473.0
13209,8653.0
20205,8526.0
27029,8576.0
40151,8583.0
19117,8710.0
29149,8631.0
56031,8699.0
30057,8917.0
6049,8661.0
13165,8639.0
21143,8803.0
29137,8712.0
21077,8775.0
46125,8708.0
40011,8562.0
18007,8714.0
35037,8656.0
13141,8630.0
56035,8697.0
13315,8739.0
19133,8574.0
19073,8717.0
16035,8895.0
29025,8897.0
26003,8821.0
13319,8831.0
21139,8959.0
22025,8805.0
51159,9017.0
30021,8904.0
19147,8906.0
31137,8937.0
13287,8966.0
28069,8829.0
21055,8947.0
48335,9070.0
20029,8928.0
31039,8984.0
30095,9044.0
27089,8988.0
48429,9173.0
32033,9182.0
21091,9064.0
28021,8908.0
19051,9138.0
21149,9100.0
13253,9197.0
20151,9181.0
13273,8964.0
26119,9297.0
37103,9255.0
55041,9258.0
13167,9160.0
48425,9469.0
21053,9265.0
17079,9193.0
40105,9303.0
46121,9286.0
19063,9321.0
29185,9376.0
46023,9163.0
30001,9524.0
20159,9390.0
31081,9386.0
8019,9446.0
27117,9313.0
30023,9491.0
40077,9427.0
20013,9455.0
13053,9048.0
31033,9529.0
19089,9478.0
27173,9411.0
45065,9760.0
29093,9408.0
4011,9404.0
13317,9513.0
48043,9450.0
16009,9931.0
20107,9747.0
19091,9634.0
22021,9571.0
13155,9618.0
27149,9700.0
48507,9534.0
51049,9681.0
49019,9663.0
31179,9784.0
22123,9594.0
27133,9680.0
28143,9696.0
18155,9790.0
19039,9785.0
29079,9720.0
38055,9796.0
48315,9645.0
38061,9576.0
18101,9780.0
19161,9752.0
27151,9749.0
28097,9729.0
48131,9756.0
5127,9822.0
49015,9967.0
48369,9813.0
13235,9917.0
48403,10039.0
19025,9915.0
13173,9907.0
48399,9943.0
28155,9983.0
22065,9799.0
28015,9879.0
48357,9782.0
27063,9990.0
8125,9941.0
19069,9952.0
19107,9914.0
5105,9964.0
20117,9979.0
29111,10000.0
31089,10049.0
40085,10216.0
5017,10019.0
29089,10168.0
26001,10235.0
5109,10066.0
20131,10216.0
40069,10301.0
28103,10123.0
48077,10263.0
46019,10456.0
46109,10163.0
21169,10349.0
1085,9965.0
1011,10320.0
19137,10322.0
29173,10361.0
48159,10464.0
1037,10450.0
37029,10835.0
17035,10345.0
37073,10366.0
21131,10278.0
31041,10460.0
5011,10408.0
30009,10847.0
1131,10446.0
38099,10469.0
29017,10556.0
18025,10514.0
16087,10898.0
31037,10498.0
19131,10555.0
51057,10573.0
19077,10567.0
51119,10781.0
